Class/Operation,Method,Data,Processes,Ex.time(ms),Speedup,ROUND(Speedup),Performance
Ttree::Fill(),Sequential,10000,1,77,1,1,1
Ttree::Fill(),Sequential,100000,1,512,1,1,1
Ttree::Fill(),Sequential,1000000,1,4964,1,1,1
Ttree::Fill(),IMT,10000,2,70,1.1,1.1,
Ttree::Fill(),IMT,100000,2,530,0.966037735849057,0.97,Overhead
Ttree::Fill(),IMT,1000000,2,5234,0.948414214749713,0.95,Overhead
Ttree::Fill(),IMT,10000,4,69,1.11594202898551,1.12,
Ttree::Fill(),IMT,100000,4,513,0.998050682261209,1,Overhead
Ttree::Fill(),IMT,1000000,4,4989,0.994988975746643,0.99,Overhead
Ttree::Fill(),IMT,10000,8,69,1.11594202898551,1.12,
Ttree::Fill(),IMT,100000,8,532,0.962406015037594,0.96,Overhead
Ttree::Fill(),IMT,1000000,8,4941,1.0046549281522,1,
Ttree::Fill(),OpenMP,10000,2,119,0.647058823529412,0.65,Overhead
Ttree::Fill(),OpenMP,100000,2,399,1.28320802005013,1.28,
Ttree::Fill(),OpenMP,1000000,2,2924,1.69767441860465,1.7,
Ttree::Fill(),OpenMP,10000,4,116,0.663793103448276,0.66,Overhead
Ttree::Fill(),OpenMP,100000,4,272,1.88235294117647,1.88,
Ttree::Fill(),OpenMP,1000000,4,1850,2.68324324324324,2.68,
Ttree::Fill(),OpenMP,10000,8,111,0.693693693693694,0.69,Overhead
Ttree::Fill(),OpenMP,100000,8,220,2.32727272727273,2.33,
Ttree::Fill(),OpenMP,1000000,8,1395,3.5584229390681,3.56,
Ttree::Fill(),MPI,10000,2,216,0.356481481481481,0.36,Overhead
Ttree::Fill(),MPI,100000,2,433,1.1824480369515,1.18,
Ttree::Fill(),MPI,1000000,2,2724,1.8223201174743,1.82,
Ttree::Fill(),MPI,10000,4,225,0.342222222222222,0.34,Overhead
Ttree::Fill(),MPI,100000,4,367,1.39509536784741,1.4,
Ttree::Fill(),MPI,1000000,4,2238,2.21805183199285,2.22,
Ttree::Fill(),MPI,10000,8,216,0.356481481481481,0.36,Overhead
Ttree::Fill(),MPI,100000,8,326,1.57055214723926,1.57,
Ttree::Fill(),MPI,1000000,8,1723,2.88102147417295,2.88,
TH1F::Fill(),Sequential,10000,2,353,1,1,
TH1F::Fill(),Sequential,100000,2,1277,1,1,
TH1F::Fill(),Sequential,1000000,2,9879,1,1,
